horizon,target_variable,age_id,scenario_id,value,sample,location
1 wk,inc infection,child,A,377247,0,PL
2 wk,inc infection,child,A,263765,0,PL
3 wk,inc infection,child,A,167257,0,PL
4 wk,inc infection,child,A,106216,0,PL
5 wk,inc infection,child,A,71686,0,PL
6 wk,inc infection,child,A,51682,0,PL
7 wk,inc infection,child,A,36052,0,PL
8 wk,inc infection,child,A,26092,0,PL
9 wk,inc infection,child,A,20720,0,PL
10 wk,inc infection,child,A,17690,0,PL
11 wk,inc infection,child,A,15760,0,PL
12 wk,inc infection,child,A,15238,0,PL
13 wk,inc infection,child,A,15975,0,PL
14 wk,inc infection,child,A,17426,0,PL
15 wk,inc infection,child,A,13351,0,PL
16 wk,inc infection,child,A,11955,0,PL
17 wk,inc infection,child,A,11589,0,PL
18 wk,inc infection,child,A,11982,0,PL
19 wk,inc infection,child,A,12869,0,PL
20 wk,inc infection,child,A,14723,0,PL
21 wk,inc infection,child,A,17439,0,PL
22 wk,inc infection,child,A,21385,0,PL
23 wk,inc infection,child,A,27514,0,PL
24 wk,inc infection,child,A,41492,0,PL
25 wk,inc infection,child,A,94065,0,PL
26 wk,inc infection,child,A,204314,0,PL
27 wk,inc infection,child,A,380123,0,PL
28 wk,inc infection,child,A,565432,0,PL
29 wk,inc infection,child,A,736317,0,PL
30 wk,inc infection,child,A,899711,0,PL
31 wk,inc infection,child,A,951471,0,PL
32 wk,inc infection,child,A,813382,0,PL
33 wk,inc infection,child,A,514057,0,PL
34 wk,inc infection,child,A,246590,0,PL
35 wk,inc infection,child,A,104006,0,PL
36 wk,inc infection,child,A,47336,0,PL
37 wk,inc infection,child,A,25421,0,PL
38 wk,inc infection,child,A,16141,0,PL
39 wk,inc infection,child,A,12408,0,PL
40 wk,inc infection,child,A,10889,0,PL
41 wk,inc infection,child,A,10947,0,PL
42 wk,inc infection,child,A,1535,0,PL
1 wk,inc death,child,A,2,0,PL
2 wk,inc death,child,A,2,0,PL
3 wk,inc death,child,A,1,0,PL
4 wk,inc death,child,A,2,0,PL
5 wk,inc death,child,A,1,0,PL
6 wk,inc death,child,A,1,0,PL
7 wk,inc death,child,A,0,0,PL
8 wk,inc death,child,A,0,0,PL
9 wk,inc death,child,A,0,0,PL
10 wk,inc death,child,A,0,0,PL
11 wk,inc death,child,A,0,0,PL
12 wk,inc death,child,A,0,0,PL
13 wk,inc death,child,A,0,0,PL
14 wk,inc death,child,A,0,0,PL
15 wk,inc death,child,A,0,0,PL
16 wk,inc death,child,A,0,0,PL
17 wk,inc death,child,A,0,0,PL
18 wk,inc death,child,A,0,0,PL
19 wk,inc death,child,A,0,0,PL
20 wk,inc death,child,A,0,0,PL
21 wk,inc death,child,A,0,0,PL
22 wk,inc death,child,A,0,0,PL
23 wk,inc death,child,A,0,0,PL
24 wk,inc death,child,A,0,0,PL
25 wk,inc death,child,A,0,0,PL
26 wk,inc death,child,A,1,0,PL
27 wk,inc death,child,A,1,0,PL
28 wk,inc death,child,A,0,0,PL
