location,scenario_id,horizon,age_id,target_variable,sample,value
ES,D,1 wk,child,inc hosp,1,0
ES,D,2 wk,child,inc hosp,1,0
ES,D,3 wk,child,inc hosp,1,0
ES,D,4 wk,child,inc hosp,1,0
ES,D,5 wk,child,inc hosp,1,0
ES,D,6 wk,child,inc hosp,1,0
ES,D,7 wk,child,inc hosp,1,0
ES,D,8 wk,child,inc hosp,1,0
ES,D,9 wk,child,inc hosp,1,0
ES,D,10 wk,child,inc hosp,1,0
ES,D,11 wk,child,inc hosp,1,0
ES,D,12 wk,child,inc hosp,1,0
ES,D,13 wk,child,inc hosp,1,0
ES,D,14 wk,child,inc hosp,1,0
ES,D,15 wk,child,inc hosp,1,0
ES,D,16 wk,child,inc hosp,1,0
ES,D,17 wk,child,inc hosp,1,0
ES,D,18 wk,child,inc hosp,1,0
ES,D,19 wk,child,inc hosp,1,0
ES,D,20 wk,child,inc hosp,1,0
ES,D,21 wk,child,inc hosp,1,0
ES,D,22 wk,child,inc hosp,1,0
ES,D,23 wk,child,inc hosp,1,0
ES,D,24 wk,child,inc hosp,1,0
ES,D,25 wk,child,inc hosp,1,0
ES,D,26 wk,child,inc hosp,1,0
ES,D,27 wk,child,inc hosp,1,0
ES,D,28 wk,child,inc hosp,1,0
ES,D,29 wk,child,inc hosp,1,0
ES,D,30 wk,child,inc hosp,1,0
ES,D,31 wk,child,inc hosp,1,0
ES,D,32 wk,child,inc hosp,1,0
ES,D,33 wk,child,inc hosp,1,0
ES,D,34 wk,child,inc hosp,1,0
ES,D,35 wk,child,inc hosp,1,0
ES,D,36 wk,child,inc hosp,1,0
ES,D,37 wk,child,inc hosp,1,0
ES,D,38 wk,child,inc hosp,1,0
ES,D,39 wk,child,inc hosp,1,0
ES,D,40 wk,child,inc hosp,1,0
ES,D,41 wk,child,inc hosp,1,0
ES,D,42 wk,child,inc hosp,1,0
ES,D,43 wk,child,inc hosp,1,0
ES,D,44 wk,child,inc hosp,1,0
ES,D,45 wk,child,inc hosp,1,0
ES,D,46 wk,child,inc hosp,1,0
ES,D,47 wk,child,inc hosp,1,0
ES,D,48 wk,child,inc hosp,1,0
ES,D,49 wk,child,inc hosp,1,0
ES,D,50 wk,child,inc hosp,1,0
ES,D,51 wk,child,inc hosp,1,0
ES,D,52 wk,child,inc hosp,1,0
ES,D,53 wk,child,inc hosp,1,0
ES,D,54 wk,child,inc hosp,1,0
ES,D,55 wk,child,inc hosp,1,0
ES,D,56 wk,child,inc hosp,1,0
ES,D,57 wk,child,inc hosp,1,0
ES,D,58 wk,child,inc hosp,1,0
ES,D,59 wk,child,inc hosp,1,0
ES,D,60 wk,child,inc hosp,1,0
ES,D,61 wk,child,inc hosp,1,0
ES,D,62 wk,child,inc hosp,1,0
ES,D,63 wk,child,inc hosp,1,0
ES,D,64 wk,child,inc hosp,1,0
ES,D,65 wk,child,inc hosp,1,0
ES,D,66 wk,child,inc hosp,1,0
ES,D,67 wk,child,inc hosp,1,0
ES,D,68 wk,child,inc hosp,1,0
ES,D,69 wk,child,inc hosp,1,0
ES,D,70 wk,child,inc hosp,1,0
ES,D,71 wk,child,inc hosp,1,0
ES,D,72 wk,child,inc hosp,1,0
ES,D,73 wk,child,inc hosp,1,0
ES,D,74 wk,child,inc hosp,1,0
ES,D,75 wk,child,inc hosp,1,0
ES,D,76 wk,child,inc hosp,1,0
ES,D,77 wk,child,inc hosp,1,0
ES,D,78 wk,child,inc hosp,1,0
ES,D,79 wk,child,inc hosp,1,0
ES,D,80 wk,child,inc hosp,1,0
ES,D,81 wk,child,inc hosp,1,0
ES,D,82 wk,child,inc hosp,1,0
ES,D,83 wk,child,inc hosp,1,0
ES,D,84 wk,child,inc hosp,1,0
ES,D,85 wk,child,inc hosp,1,0
ES,D,86 wk,child,inc hosp,1,0
ES,D,87 wk,child,inc hosp,1,0
ES,D,88 wk,child,inc hosp,1,0
ES,D,89 wk,child,inc hosp,1,0
ES,D,90 wk,child,inc hosp,1,0
ES,D,91 wk,child,inc hosp,1,0
