location,scenario_id,horizon,age_id,target_variable,sample,value
ES,C,1 wk,child,inc hosp,1,0
ES,C,2 wk,child,inc hosp,1,0
ES,C,3 wk,child,inc hosp,1,0
ES,C,4 wk,child,inc hosp,1,0
ES,C,5 wk,child,inc hosp,1,0
ES,C,6 wk,child,inc hosp,1,0
ES,C,7 wk,child,inc hosp,1,0
ES,C,8 wk,child,inc hosp,1,0
ES,C,9 wk,child,inc hosp,1,0
ES,C,10 wk,child,inc hosp,1,0
ES,C,11 wk,child,inc hosp,1,0
ES,C,12 wk,child,inc hosp,1,0
ES,C,13 wk,child,inc hosp,1,0
ES,C,14 wk,child,inc hosp,1,0
ES,C,15 wk,child,inc hosp,1,0
ES,C,16 wk,child,inc hosp,1,0
ES,C,17 wk,child,inc hosp,1,0
ES,C,18 wk,child,inc hosp,1,0
ES,C,19 wk,child,inc hosp,1,0
ES,C,20 wk,child,inc hosp,1,0
ES,C,21 wk,child,inc hosp,1,0
ES,C,22 wk,child,inc hosp,1,0
ES,C,23 wk,child,inc hosp,1,0
ES,C,24 wk,child,inc hosp,1,0
ES,C,25 wk,child,inc hosp,1,0
ES,C,26 wk,child,inc hosp,1,0
ES,C,27 wk,child,inc hosp,1,0
ES,C,28 wk,child,inc hosp,1,0
ES,C,29 wk,child,inc hosp,1,0
ES,C,30 wk,child,inc hosp,1,0
ES,C,31 wk,child,inc hosp,1,0
ES,C,32 wk,child,inc hosp,1,0
ES,C,33 wk,child,inc hosp,1,0
ES,C,34 wk,child,inc hosp,1,0
ES,C,35 wk,child,inc hosp,1,0
ES,C,36 wk,child,inc hosp,1,0
ES,C,37 wk,child,inc hosp,1,0
ES,C,38 wk,child,inc hosp,1,0
ES,C,39 wk,child,inc hosp,1,0
ES,C,1 wk,child,inc death,1,0
ES,C,2 wk,child,inc death,1,0
ES,C,3 wk,child,inc death,1,0
ES,C,4 wk,child,inc death,1,0
ES,C,5 wk,child,inc death,1,0
ES,C,6 wk,child,inc death,1,0
ES,C,7 wk,child,inc death,1,0
ES,C,8 wk,child,inc death,1,0
ES,C,9 wk,child,inc death,1,0
ES,C,10 wk,child,inc death,1,0
ES,C,11 wk,child,inc death,1,0
ES,C,12 wk,child,inc death,1,0
ES,C,13 wk,child,inc death,1,0
ES,C,14 wk,child,inc death,1,0
ES,C,15 wk,child,inc death,1,0
ES,C,16 wk,child,inc death,1,0
ES,C,17 wk,child,inc death,1,0
ES,C,18 wk,child,inc death,1,0
ES,C,19 wk,child,inc death,1,0
ES,C,20 wk,child,inc death,1,0
ES,C,21 wk,child,inc death,1,0
ES,C,22 wk,child,inc death,1,0
ES,C,23 wk,child,inc death,1,0
ES,C,24 wk,child,inc death,1,0
ES,C,25 wk,child,inc death,1,0
ES,C,26 wk,child,inc death,1,0
