location,scenario_id,origin_date,target_end_date,horizon,target_variable,sample,value
ES,C-2022-07-24,2022-07-24,2022-07-30,1 wk,inc hosp,1,1811
ES,C-2022-07-24,2022-07-24,2022-08-06,2 wk,inc hosp,1,1688
ES,C-2022-07-24,2022-07-24,2022-08-13,3 wk,inc hosp,1,1153
ES,C-2022-07-24,2022-07-24,2022-08-20,4 wk,inc hosp,1,546
ES,C-2022-07-24,2022-07-24,2022-08-27,5 wk,inc hosp,1,311
ES,C-2022-07-24,2022-07-24,2022-09-03,6 wk,inc hosp,1,201
ES,C-2022-07-24,2022-07-24,2022-09-10,7 wk,inc hosp,1,170
ES,C-2022-07-24,2022-07-24,2022-09-17,8 wk,inc hosp,1,172
ES,C-2022-07-24,2022-07-24,2022-09-24,9 wk,inc hosp,1,126
ES,C-2022-07-24,2022-07-24,2022-10-01,10 wk,inc hosp,1,81
ES,C-2022-07-24,2022-07-24,2022-10-08,11 wk,inc hosp,1,49
ES,C-2022-07-24,2022-07-24,2022-10-15,12 wk,inc hosp,1,48
ES,C-2022-07-24,2022-07-24,2022-10-22,13 wk,inc hosp,1,57
ES,C-2022-07-24,2022-07-24,2022-10-29,14 wk,inc hosp,1,52
ES,C-2022-07-24,2022-07-24,2022-11-05,15 wk,inc hosp,1,49
ES,C-2022-07-24,2022-07-24,2022-11-12,16 wk,inc hosp,1,51
ES,C-2022-07-24,2022-07-24,2022-11-19,17 wk,inc hosp,1,99
ES,C-2022-07-24,2022-07-24,2022-11-26,18 wk,inc hosp,1,90
ES,C-2022-07-24,2022-07-24,2022-12-03,19 wk,inc hosp,1,92
ES,C-2022-07-24,2022-07-24,2022-12-10,20 wk,inc hosp,1,168
ES,C-2022-07-24,2022-07-24,2022-12-17,21 wk,inc hosp,1,236
ES,C-2022-07-24,2022-07-24,2022-12-24,22 wk,inc hosp,1,278
ES,C-2022-07-24,2022-07-24,2022-12-31,23 wk,inc hosp,1,430
ES,C-2022-07-24,2022-07-24,2023-01-07,24 wk,inc hosp,1,722
ES,C-2022-07-24,2022-07-24,2023-01-14,25 wk,inc hosp,1,754
ES,C-2022-07-24,2022-07-24,2023-01-21,26 wk,inc hosp,1,606
