location,scenario_id,horizon,target_variable,sample,value
ES,A,1 wk,inc hosp,1,0
ES,A,2 wk,inc hosp,1,32
ES,A,3 wk,inc hosp,1,516
ES,A,4 wk,inc hosp,1,1348
ES,A,5 wk,inc hosp,1,3608
ES,A,6 wk,inc hosp,1,6033
ES,A,7 wk,inc hosp,1,6378
ES,A,8 wk,inc hosp,1,4473
ES,A,9 wk,inc hosp,1,2813
ES,A,10 wk,inc hosp,1,1952
ES,A,11 wk,inc hosp,1,1526
ES,A,12 wk,inc hosp,1,877
ES,A,13 wk,inc hosp,1,451
ES,A,14 wk,inc hosp,1,166
ES,A,15 wk,inc hosp,1,81
ES,A,16 wk,inc hosp,1,36
ES,A,17 wk,inc hosp,1,14
ES,A,18 wk,inc hosp,1,3
ES,A,19 wk,inc hosp,1,6
ES,A,20 wk,inc hosp,1,2
ES,A,21 wk,inc hosp,1,1
ES,A,22 wk,inc hosp,1,8
ES,A,23 wk,inc hosp,1,5
ES,A,24 wk,inc hosp,1,4
ES,A,25 wk,inc hosp,1,14
ES,A,26 wk,inc hosp,1,38
ES,A,27 wk,inc hosp,1,70
ES,A,28 wk,inc hosp,1,183
ES,A,29 wk,inc hosp,1,429
ES,A,30 wk,inc hosp,1,1159
ES,A,31 wk,inc hosp,1,1961
ES,A,32 wk,inc hosp,1,2431
ES,A,33 wk,inc hosp,1,2452
ES,A,34 wk,inc hosp,1,2006
ES,A,35 wk,inc hosp,1,1787
ES,A,36 wk,inc hosp,1,1357
ES,A,37 wk,inc hosp,1,778
ES,A,38 wk,inc hosp,1,334
ES,A,39 wk,inc hosp,1,142
ES,A,40 wk,inc hosp,1,85
ES,A,41 wk,inc hosp,1,68
ES,A,42 wk,inc hosp,1,39
ES,A,43 wk,inc hosp,1,14
ES,A,44 wk,inc hosp,1,8
ES,A,45 wk,inc hosp,1,1
ES,A,46 wk,inc hosp,1,0
ES,A,47 wk,inc hosp,1,1
ES,A,48 wk,inc hosp,1,9
ES,A,49 wk,inc hosp,1,17
ES,A,50 wk,inc hosp,1,46
ES,A,51 wk,inc hosp,1,88
ES,A,52 wk,inc hosp,1,162
ES,A,1 wk,inc infection,1,535839
ES,A,2 wk,inc infection,1,459386
ES,A,3 wk,inc infection,1,352280
ES,A,4 wk,inc infection,1,870309
ES,A,5 wk,inc infection,1,1537664
ES,A,6 wk,inc infection,1,1540176
ES,A,7 wk,inc infection,1,959192
ES,A,8 wk,inc infection,1,537260
ES,A,9 wk,inc infection,1,402961
ES,A,10 wk,inc infection,1,285934
ES,A,11 wk,inc infection,1,159174
ES,A,12 wk,inc infection,1,77660
ES,A,13 wk,inc infection,1,33910
ES,A,14 wk,inc infection,1,14673
ES,A,15 wk,inc infection,1,6257
ES,A,16 wk,inc infection,1,2962
ES,A,17 wk,inc infection,1,1612
ES,A,18 wk,inc infection,1,1230
ES,A,19 wk,inc infection,1,1024
ES,A,20 wk,inc infection,1,740
ES,A,21 wk,inc infection,1,726
ES,A,22 wk,inc infection,1,996
ES,A,23 wk,inc infection,1,1922
ES,A,24 wk,inc infection,1,3994
ES,A,25 wk,inc infection,1,10378
ES,A,26 wk,inc infection,1,26319
ES,A,27 wk,inc infection,1,67237
ES,A,28 wk,inc infection,1,171944
ES,A,29 wk,inc infection,1,382790
ES,A,30 wk,inc infection,1,646315
ES,A,31 wk,inc infection,1,780291
ES,A,32 wk,inc infection,1,725490
ES,A,33 wk,inc infection,1,600399
ES,A,34 wk,inc infection,1,507030
ES,A,35 wk,inc infection,1,355805
ES,A,36 wk,inc infection,1,188821
ES,A,37 wk,inc infection,1,89939
ES,A,38 wk,inc infection,1,43568
ES,A,39 wk,inc infection,1,21101
ES,A,40 wk,inc infection,1,10583
ES,A,41 wk,inc infection,1,5925
ES,A,42 wk,inc infection,1,3575
ES,A,43 wk,inc infection,1,2464
ES,A,44 wk,inc infection,1,1900
ES,A,45 wk,inc infection,1,1691
ES,A,46 wk,inc infection,1,1775
ES,A,47 wk,inc infection,1,2621
ES,A,48 wk,inc infection,1,4426
ES,A,49 wk,inc infection,1,8744
ES,A,50 wk,inc infection,1,19763
ES,A,51 wk,inc infection,1,49923
ES,A,52 wk,inc infection,1,142240
ES,A,1 wk,inc hosp,2,0
ES,A,2 wk,inc hosp,2,33
ES,A,3 wk,inc hosp,2,555
ES,A,4 wk,inc hosp,2,1434
ES,A,5 wk,inc hosp,2,3529
