scenario_id,sample,horizon,target_variable,value,location
A,1,1 wk,inc case,9180,NL
A,1,1 wk,inc death,30,NL
A,1,1 wk,inc hosp,75,NL
A,1,1 wk,inc icu,32,NL
A,1,1 wk,inc infection,20085,NL
A,1,10 wk,inc case,12940,NL
A,1,10 wk,inc death,20,NL
A,1,10 wk,inc hosp,76,NL
A,1,10 wk,inc icu,26,NL
A,1,10 wk,inc infection,29905,NL
A,1,11 wk,inc case,14813,NL
A,1,11 wk,inc death,22,NL
A,1,11 wk,inc hosp,83,NL
A,1,11 wk,inc icu,29,NL
A,1,11 wk,inc infection,34593,NL
A,1,12 wk,inc case,17498,NL
A,1,12 wk,inc death,23,NL
A,1,12 wk,inc hosp,96,NL
A,1,12 wk,inc icu,32,NL
A,1,12 wk,inc infection,41154,NL
A,1,13 wk,inc case,20778,NL
A,1,13 wk,inc death,26,NL
A,1,13 wk,inc hosp,115,NL
A,1,13 wk,inc icu,38,NL
A,1,13 wk,inc infection,49485,NL
A,1,14 wk,inc case,25641,NL
A,1,14 wk,inc death,31,NL
A,1,14 wk,inc hosp,142,NL
A,1,14 wk,inc icu,46,NL
A,1,14 wk,inc infection,61476,NL
A,1,15 wk,inc case,31565,NL
A,1,15 wk,inc death,37,NL
A,1,15 wk,inc hosp,178,NL
A,1,15 wk,inc icu,57,NL
A,1,15 wk,inc infection,75678,NL
A,1,16 wk,inc case,37472,NL
A,1,16 wk,inc death,45,NL
A,1,16 wk,inc hosp,223,NL
A,1,16 wk,inc icu,71,NL
A,1,16 wk,inc infection,88164,NL
A,1,17 wk,inc case,43746,NL
A,1,17 wk,inc death,56,NL
A,1,17 wk,inc hosp,270,NL
A,1,17 wk,inc icu,88,NL
A,1,17 wk,inc infection,103082,NL
A,1,18 wk,inc case,51502,NL
A,1,18 wk,inc death,69,NL
A,1,18 wk,inc hosp,323,NL
A,1,18 wk,inc icu,106,NL
A,1,18 wk,inc infection,121609,NL
A,1,19 wk,inc case,61024,NL
A,1,19 wk,inc death,83,NL
