location,target_end_date,target_variable,value,scenario_id,origin_date,horizon,type,sample
AT,2022-06-04,inc case,69784,A-2022-02-25,2022-05-28,1 wk,sample,1
AT,2022-06-04,inc case,75086,B-2022-02-25,2022-05-28,1 wk,sample,1
BE,2022-06-04,inc case,53279,A-2022-02-25,2022-05-28,1 wk,sample,1
BE,2022-06-04,inc case,70764,B-2022-02-25,2022-05-28,1 wk,sample,1
BG,2022-06-04,inc case,4270,A-2022-02-25,2022-05-28,1 wk,sample,1
BG,2022-06-04,inc case,5886,B-2022-02-25,2022-05-28,1 wk,sample,1
CH,2022-06-04,inc case,46235,A-2022-02-25,2022-05-28,1 wk,sample,1
CH,2022-06-04,inc case,39659,B-2022-02-25,2022-05-28,1 wk,sample,1
CY,2022-06-04,inc case,10204,A-2022-02-25,2022-05-28,1 wk,sample,1
CY,2022-06-04,inc case,11583,B-2022-02-25,2022-05-28,1 wk,sample,1
CZ,2022-06-04,inc case,6103,A-2022-02-25,2022-05-28,1 wk,sample,1
CZ,2022-06-04,inc case,7319,B-2022-02-25,2022-05-28,1 wk,sample,1
DE,2022-06-04,inc case,397974,A-2022-02-25,2022-05-28,1 wk,sample,1
DE,2022-06-04,inc case,1010499,B-2022-02-25,2022-05-28,1 wk,sample,1
DK,2022-06-04,inc case,20826,A-2022-02-25,2022-05-28,1 wk,sample,1
DK,2022-06-04,inc case,24480,B-2022-02-25,2022-05-28,1 wk,sample,1
EE,2022-06-04,inc case,4314,A-2022-02-25,2022-05-28,1 wk,sample,1
EE,2022-06-04,inc case,4653,B-2022-02-25,2022-05-28,1 wk,sample,1
ES,2022-06-04,inc case,275032,A-2022-02-25,2022-05-28,1 wk,sample,1
ES,2022-06-04,inc case,384498,B-2022-02-25,2022-05-28,1 wk,sample,1
FI,2022-06-04,inc case,54759,A-2022-02-25,2022-05-28,1 wk,sample,1
FI,2022-06-04,inc case,55331,B-2022-02-25,2022-05-28,1 wk,sample,1
FR,2022-06-04,inc case,380261,A-2022-02-25,2022-05-28,1 wk,sample,1
FR,2022-06-04,inc case,347637,B-2022-02-25,2022-05-28,1 wk,sample,1
GB,2022-06-04,inc case,229411,A-2022-02-25,2022-05-28,1 wk,sample,1
