location,target_end_date,target_variable,value,scenario_id,origin_date,horizon,type,quantile
AT,2022-03-05,inc case,102212,A-2022-03-02,2022-02-26,1 wk,quantile,0.01
AT,2022-03-05,inc case,116218,A-2022-03-02,2022-02-26,1 wk,quantile,0.025
AT,2022-03-05,inc case,128265,A-2022-03-02,2022-02-26,1 wk,quantile,0.05
AT,2022-03-05,inc case,142153,A-2022-03-02,2022-02-26,1 wk,quantile,0.1
AT,2022-03-05,inc case,151524,A-2022-03-02,2022-02-26,1 wk,quantile,0.15
AT,2022-03-05,inc case,158971,A-2022-03-02,2022-02-26,1 wk,quantile,0.2
AT,2022-03-05,inc case,165361,A-2022-03-02,2022-02-26,1 wk,quantile,0.25
AT,2022-03-05,inc case,171099,A-2022-03-02,2022-02-26,1 wk,quantile,0.3
AT,2022-03-05,inc case,176416,A-2022-03-02,2022-02-26,1 wk,quantile,0.35
AT,2022-03-05,inc case,181461,A-2022-03-02,2022-02-26,1 wk,quantile,0.4
AT,2022-03-05,inc case,186342,A-2022-03-02,2022-02-26,1 wk,quantile,0.45
AT,2022-03-05,inc case,191146,A-2022-03-02,2022-02-26,1 wk,quantile,0.5
AT,2022-03-05,inc case,195950,A-2022-03-02,2022-02-26,1 wk,quantile,0.55
AT,2022-03-05,inc case,200831,A-2022-03-02,2022-02-26,1 wk,quantile,0.6
AT,2022-03-05,inc case,205876,A-2022-03-02,2022-02-26,1 wk,quantile,0.65
AT,2022-03-05,inc case,211193,A-2022-03-02,2022-02-26,1 wk,quantile,0.7
AT,2022-03-05,inc case,216931,A-2022-03-02,2022-02-26,1 wk,quantile,0.75
AT,2022-03-05,inc case,223321,A-2022-03-02,2022-02-26,1 wk,quantile,0.8
AT,2022-03-05,inc case,230768,A-2022-03-02,2022-02-26,1 wk,quantile,0.85
AT,2022-03-05,inc case,240139,A-2022-03-02,2022-02-26,1 wk,quantile,0.9
AT,2022-03-05,inc case,254027,A-2022-03-02,2022-02-26,1 wk,quantile,0.95
AT,2022-03-05,inc case,266074,A-2022-03-02,2022-02-26,1 wk,quantile,0.975
AT,2022-03-05,inc case,280080,A-2022-03-02,2022-02-26,1 wk,quantile,0.99
AT,2022-03-05,inc case,133686,B-2022-03-02,2022-02-26,1 wk,quantile,0.01
AT,2022-03-05,inc case,152006,B-2022-03-02,2022-02-26,1 wk,quantile,0.025
AT,2022-03-05,inc case,167762,B-2022-03-02,2022-02-26,1 wk,quantile,0.05
AT,2022-03-05,inc case,185928,B-2022-03-02,2022-02-26,1 wk,quantile,0.1
AT,2022-03-05,inc case,198184,B-2022-03-02,2022-02-26,1 wk,quantile,0.15
AT,2022-03-05,inc case,207925,B-2022-03-02,2022-02-26,1 wk,quantile,0.2
AT,2022-03-05,inc case,216282,B-2022-03-02,2022-02-26,1 wk,quantile,0.25
AT,2022-03-05,inc case,223786,B-2022-03-02,2022-02-26,1 wk,quantile,0.3
AT,2022-03-05,inc case,230740,B-2022-03-02,2022-02-26,1 wk,quantile,0.35
AT,2022-03-05,inc case,237339,B-2022-03-02,2022-02-26,1 wk,quantile,0.4
AT,2022-03-05,inc case,243724,B-2022-03-02,2022-02-26,1 wk,quantile,0.45
AT,2022-03-05,inc case,250007,B-2022-03-02,2022-02-26,1 wk,quantile,0.5
AT,2022-03-05,inc case,256290,B-2022-03-02,2022-02-26,1 wk,quantile,0.55
AT,2022-03-05,inc case,262675,B-2022-03-02,2022-02-26,1 wk,quantile,0.6
AT,2022-03-05,inc case,269274,B-2022-03-02,2022-02-26,1 wk,quantile,0.65
AT,2022-03-05,inc case,276228,B-2022-03-02,2022-02-26,1 wk,quantile,0.7
AT,2022-03-05,inc case,283732,B-2022-03-02,2022-02-26,1 wk,quantile,0.75
AT,2022-03-05,inc case,292089,B-2022-03-02,2022-02-26,1 wk,quantile,0.8
AT,2022-03-05,inc case,301830,B-2022-03-02,2022-02-26,1 wk,quantile,0.85
AT,2022-03-05,inc case,314086,B-2022-03-02,2022-02-26,1 wk,quantile,0.9
AT,2022-03-05,inc case,332252,B-2022-03-02,2022-02-26,1 wk,quantile,0.95
AT,2022-03-05,inc case,348008,B-2022-03-02,2022-02-26,1 wk,quantile,0.975
AT,2022-03-05,inc case,366328,B-2022-03-02,2022-02-26,1 wk,quantile,0.99
AT,2022-03-05,inc death,109,A-2022-03-02,2022-02-26,1 wk,quantile,0.01
AT,2022-03-05,inc death,123,A-2022-03-02,2022-02-26,1 wk,quantile,0.025
AT,2022-03-05,inc death,136,A-2022-03-02,2022-02-26,1 wk,quantile,0.05
AT,2022-03-05,inc death,151,A-2022-03-02,2022-02-26,1 wk,quantile,0.1
AT,2022-03-05,inc death,161,A-2022-03-02,2022-02-26,1 wk,quantile,0.15
AT,2022-03-05,inc death,169,A-2022-03-02,2022-02-26,1 wk,quantile,0.2
AT,2022-03-05,inc death,176,A-2022-03-02,2022-02-26,1 wk,quantile,0.25
AT,2022-03-05,inc death,182,A-2022-03-02,2022-02-26,1 wk,quantile,0.3
AT,2022-03-05,inc death,187,A-2022-03-02,2022-02-26,1 wk,quantile,0.35
AT,2022-03-05,inc death,193,A-2022-03-02,2022-02-26,1 wk,quantile,0.4
AT,2022-03-05,inc death,198,A-2022-03-02,2022-02-26,1 wk,quantile,0.45
AT,2022-03-05,inc death,203,A-2022-03-02,2022-02-26,1 wk,quantile,0.5
AT,2022-03-05,inc death,208,A-2022-03-02,2022-02-26,1 wk,quantile,0.55
AT,2022-03-05,inc death,213,A-2022-03-02,2022-02-26,1 wk,quantile,0.6
AT,2022-03-05,inc death,219,A-2022-03-02,2022-02-26,1 wk,quantile,0.65
