location,target_end_date,value,scenario_id,forecast_date,target,type,quantile
AT,2022-02-05,42,B-2022-02-03,2022-01-29,1 wk ahead inc death,quantile,0.01
AT,2022-02-05,47,B-2022-02-03,2022-01-29,1 wk ahead inc death,quantile,0.025
AT,2022-02-05,52,B-2022-02-03,2022-01-29,1 wk ahead inc death,quantile,0.05
AT,2022-02-05,58,B-2022-02-03,2022-01-29,1 wk ahead inc death,quantile,0.1
AT,2022-02-05,62,B-2022-02-03,2022-01-29,1 wk ahead inc death,quantile,0.15
AT,2022-02-05,65,B-2022-02-03,2022-01-29,1 wk ahead inc death,quantile,0.2
AT,2022-02-05,67,B-2022-02-03,2022-01-29,1 wk ahead inc death,quantile,0.25
AT,2022-02-05,70,B-2022-02-03,2022-01-29,1 wk ahead inc death,quantile,0.3
AT,2022-02-05,72,B-2022-02-03,2022-01-29,1 wk ahead inc death,quantile,0.35
AT,2022-02-05,74,B-2022-02-03,2022-01-29,1 wk ahead inc death,quantile,0.4
AT,2022-02-05,76,B-2022-02-03,2022-01-29,1 wk ahead inc death,quantile,0.45
AT,2022-02-05,78,B-2022-02-03,2022-01-29,1 wk ahead inc death,quantile,0.5
AT,2022-02-05,80,B-2022-02-03,2022-01-29,1 wk ahead inc death,quantile,0.55
AT,2022-02-05,82,B-2022-02-03,2022-01-29,1 wk ahead inc death,quantile,0.6
AT,2022-02-05,84,B-2022-02-03,2022-01-29,1 wk ahead inc death,quantile,0.65
AT,2022-02-05,86,B-2022-02-03,2022-01-29,1 wk ahead inc death,quantile,0.7
AT,2022-02-05,89,B-2022-02-03,2022-01-29,1 wk ahead inc death,quantile,0.75
AT,2022-02-05,91,B-2022-02-03,2022-01-29,1 wk ahead inc death,quantile,0.8
AT,2022-02-05,94,B-2022-02-03,2022-01-29,1 wk ahead inc death,quantile,0.85
AT,2022-02-05,98,B-2022-02-03,2022-01-29,1 wk ahead inc death,quantile,0.9
AT,2022-02-05,104,B-2022-02-03,2022-01-29,1 wk ahead inc death,quantile,0.95
AT,2022-02-05,109,B-2022-02-03,2022-01-29,1 wk ahead inc death,quantile,0.975
AT,2022-02-05,114,B-2022-02-03,2022-01-29,1 wk ahead inc death,quantile,0.99
AT,2022-02-05,44,A-2022-02-03,2022-01-29,1 wk ahead inc death,quantile,0.01
AT,2022-02-05,50,A-2022-02-03,2022-01-29,1 wk ahead inc death,quantile,0.025
AT,2022-02-05,56,A-2022-02-03,2022-01-29,1 wk ahead inc death,quantile,0.05
AT,2022-02-05,62,A-2022-02-03,2022-01-29,1 wk ahead inc death,quantile,0.1
AT,2022-02-05,66,A-2022-02-03,2022-01-29,1 wk ahead inc death,quantile,0.15
AT,2022-02-05,69,A-2022-02-03,2022-01-29,1 wk ahead inc death,quantile,0.2
AT,2022-02-05,72,A-2022-02-03,2022-01-29,1 wk ahead inc death,quantile,0.25
AT,2022-02-05,74,A-2022-02-03,2022-01-29,1 wk ahead inc death,quantile,0.3
AT,2022-02-05,77,A-2022-02-03,2022-01-29,1 wk ahead inc death,quantile,0.35
AT,2022-02-05,79,A-2022-02-03,2022-01-29,1 wk ahead inc death,quantile,0.4
