"location","scenario_id","origin_date","target_end_date","horizon","target_variable","sample","value"
"BE","C-2022-05-22","2022-05-22","2022-05-28","1 wk","inc infection","1","111634"
"BE","C-2022-05-22","2022-05-22","2022-06-04","2 wk","inc infection","1","111208"
"BE","C-2022-05-22","2022-05-22","2022-06-11","3 wk","inc infection","1","114061"
"BE","C-2022-05-22","2022-05-22","2022-06-18","4 wk","inc infection","1","119241"
"BE","C-2022-05-22","2022-05-22","2022-06-25","5 wk","inc infection","1","127508"
"BE","C-2022-05-22","2022-05-22","2022-07-02","6 wk","inc infection","1","134844"
"BE","C-2022-05-22","2022-05-22","2022-07-09","7 wk","inc infection","1","124901"
"BE","C-2022-05-22","2022-05-22","2022-07-16","8 wk","inc infection","1","117389"
"BE","C-2022-05-22","2022-05-22","2022-07-23","9 wk","inc infection","1","111413"
"BE","C-2022-05-22","2022-05-22","2022-07-30","10 wk","inc infection","1","107127"
"BE","C-2022-05-22","2022-05-22","2022-08-06","11 wk","inc infection","1","105283"
"BE","C-2022-05-22","2022-05-22","2022-08-13","12 wk","inc infection","1","103727"
"BE","C-2022-05-22","2022-05-22","2022-08-20","13 wk","inc infection","1","103950"
"BE","C-2022-05-22","2022-05-22","2022-08-27","14 wk","inc infection","1","105581"
"BE","C-2022-05-22","2022-05-22","2022-09-03","15 wk","inc infection","1","108939"
"BE","C-2022-05-22","2022-05-22","2022-09-10","16 wk","inc infection","1","133616"
"BE","C-2022-05-22","2022-05-22","2022-09-17","17 wk","inc infection","1","162600"
"BE","C-2022-05-22","2022-05-22","2022-09-24","18 wk","inc infection","1","193912"
"BE","C-2022-05-22","2022-05-22","2022-10-01","19 wk","inc infection","1","220397"
"BE","C-2022-05-22","2022-05-22","2022-10-08","20 wk","inc infection","1","236464"
"BE","C-2022-05-22","2022-05-22","2022-10-15","21 wk","inc infection","1","240996"
"BE","C-2022-05-22","2022-05-22","2022-10-22","22 wk","inc infection","1","233686"
"BE","C-2022-05-22","2022-05-22","2022-10-29","23 wk","inc infection","1","219365"
"BE","C-2022-05-22","2022-05-22","2022-11-05","24 wk","inc infection","1","199973"
"BE","C-2022-05-22","2022-05-22","2022-11-12","25 wk","inc infection","1","180638"
"BE","C-2022-05-22","2022-05-22","2022-11-19","26 wk","inc infection","1","163311"
"BE","C-2022-05-22","2022-05-22","2022-11-26","27 wk","inc infection","1","148595"
"BE","C-2022-05-22","2022-05-22","2022-12-03","28 wk","inc infection","1","139346"
"BE","C-2022-05-22","2022-05-22","2022-12-10","29 wk","inc infection","1","131062"
"BE","C-2022-05-22","2022-05-22","2022-12-17","30 wk","inc infection","1","125744"
"BE","C-2022-05-22","2022-05-22","2022-12-24","31 wk","inc infection","1","124174"
"BE","C-2022-05-22","2022-05-22","2022-12-31","32 wk","inc infection","1","124698"
"BE","C-2022-05-22","2022-05-22","2023-01-07","33 wk","inc infection","1","126994"
"BE","C-2022-05-22","2022-05-22","2023-01-14","34 wk","inc infection","1","130945"
"BE","C-2022-05-22","2022-05-22","2023-01-21","35 wk","inc infection","1","135134"
"BE","C-2022-05-22","2022-05-22","2023-01-28","36 wk","inc infection","1","140321"
"BE","C-2022-05-22","2022-05-22","2023-02-04","37 wk","inc infection","1","146094"
"BE","C-2022-05-22","2022-05-22","2023-02-11","38 wk","inc infection","1","152599"
"BE","C-2022-05-22","2022-05-22","2023-02-18","39 wk","inc infection","1","158540"
"BE","C-2022-05-22","2022-05-22","2023-02-25","40 wk","inc infection","1","163300"
"BE","C-2022-05-22","2022-05-22","2023-03-04","41 wk","inc infection","1","165851"
"BE","C-2022-05-22","2022-05-22","2023-03-11","42 wk","inc infection","1","167186"
"BE","C-2022-05-22","2022-05-22","2023-03-18","43 wk","inc infection","1","168286"
"BE","C-2022-05-22","2022-05-22","2023-03-25","44 wk","inc infection","1","167095"
"BE","C-2022-05-22","2022-05-22","2023-04-01","45 wk","inc infection","1","166288"
"BE","C-2022-05-22","2022-05-22","2023-04-08","46 wk","inc infection","1","163347"
"BE","C-2022-05-22","2022-05-22","2023-04-15","47 wk","inc infection","1","162028"
"BE","C-2022-05-22","2022-05-22","2023-04-22","48 wk","inc infection","1","159606"
"BE","C-2022-05-22","2022-05-22","2023-04-29","49 wk","inc infection","1","157272"
"BE","C-2022-05-22","2022-05-22","2023-05-06","50 wk","inc infection","1","154180"
"BE","C-2022-05-22","2022-05-22","2023-05-13","51 wk","inc infection","1","152257"
"BE","C-2022-05-22","2022-05-22","2023-05-20","52 wk","inc infection","1","150154"
"BE","C-2022-05-22","2022-05-22","2022-05-28","1 wk","inc infection","2","111162"
"BE","C-2022-05-22","2022-05-22","2022-06-04","2 wk","inc infection","2","116542"
"BE","C-2022-05-22","2022-05-22","2022-06-11","3 wk","inc infection","2","126113"
"BE","C-2022-05-22","2022-05-22","2022-06-18","4 wk","inc infection","2","137686"
"BE","C-2022-05-22","2022-05-22","2022-06-25","5 wk","inc infection","2","149601"
"BE","C-2022-05-22","2022-05-22","2022-07-02","6 wk","inc infection","2","161715"
"BE","C-2022-05-22","2022-05-22","2022-07-09","7 wk","inc infection","2","139176"
"BE","C-2022-05-22","2022-05-22","2022-07-16","8 wk","inc infection","2","120618"
"BE","C-2022-05-22","2022-05-22","2022-07-23","9 wk","inc infection","2","107571"
"BE","C-2022-05-22","2022-05-22","2022-07-30","10 wk","inc infection","2","99130"
"BE","C-2022-05-22","2022-05-22","2022-08-06","11 wk","inc infection","2","93669"
"BE","C-2022-05-22","2022-05-22","2022-08-13","12 wk","inc infection","2","89402"
"BE","C-2022-05-22","2022-05-22","2022-08-20","13 wk","inc infection","2","87060"
"BE","C-2022-05-22","2022-05-22","2022-08-27","14 wk","inc infection","2","86246"
"BE","C-2022-05-22","2022-05-22","2022-09-03","15 wk","inc infection","2","88889"
"BE","C-2022-05-22","2022-05-22","2022-09-10","16 wk","inc infection","2","116689"
"BE","C-2022-05-22","2022-05-22","2022-09-17","17 wk","inc infection","2","158550"
"BE","C-2022-05-22","2022-05-22","2022-09-24","18 wk","inc infection","2","208684"
"BE","C-2022-05-22","2022-05-22","2022-10-01","19 wk","inc infection","2","254547"
"BE","C-2022-05-22","2022-05-22","2022-10-08","20 wk","inc infection","2","284122"
