scenario_id,horizon,location,sample,target_variable,value
A,1 wk,DE,1,inc infection,2013197
A,1 wk,DE,1,inc hosp,6914
A,2 wk,DE,1,inc infection,2073244
A,2 wk,DE,1,inc hosp,6550
A,3 wk,DE,1,inc infection,2114003
A,3 wk,DE,1,inc hosp,2911
A,4 wk,DE,1,inc infection,2536148
A,4 wk,DE,1,inc hosp,6550
A,5 wk,DE,1,inc infection,3305836
A,5 wk,DE,1,inc hosp,7278
A,6 wk,DE,1,inc infection,4071156
A,6 wk,DE,1,inc hosp,5095
A,7 wk,DE,1,inc infection,4690181
A,7 wk,DE,1,inc hosp,9098
A,8 wk,DE,1,inc infection,4748772
A,8 wk,DE,1,inc hosp,14557
A,9 wk,DE,1,inc infection,4464552
A,9 wk,DE,1,inc hosp,12373
A,10 wk,DE,1,inc infection,3845891
A,10 wk,DE,1,inc hosp,12737
A,11 wk,DE,1,inc infection,3302924
A,11 wk,DE,1,inc hosp,9826
A,12 wk,DE,1,inc infection,2501212
A,12 wk,DE,1,inc hosp,9462
A,13 wk,DE,1,inc infection,1960065
A,13 wk,DE,1,inc hosp,5823
A,14 wk,DE,1,inc infection,1882186
A,14 wk,DE,1,inc hosp,5823
A,15 wk,DE,1,inc infection,1847614
A,15 wk,DE,1,inc hosp,3639
A,16 wk,DE,1,inc infection,1955334
A,16 wk,DE,1,inc hosp,5459
A,17 wk,DE,1,inc infection,1961521
A,17 wk,DE,1,inc hosp,4003
A,18 wk,DE,1,inc infection,1852709
A,18 wk,DE,1,inc hosp,4367
A,19 wk,DE,1,inc infection,1759910
A,19 wk,DE,1,inc hosp,2183
A,20 wk,DE,1,inc infection,1659468
A,20 wk,DE,1,inc hosp,6914
A,21 wk,DE,1,inc infection,1547018
A,21 wk,DE,1,inc hosp,6550
A,22 wk,DE,1,inc infection,1473506
A,22 wk,DE,1,inc hosp,4731
A,23 wk,DE,1,inc infection,1233684
A,23 wk,DE,1,inc hosp,4367
A,24 wk,DE,1,inc infection,1038623
A,24 wk,DE,1,inc hosp,3275
A,25 wk,DE,1,inc infection,1012057
A,25 wk,DE,1,inc hosp,2911
A,26 wk,DE,1,inc infection,1084477
A,26 wk,DE,1,inc hosp,1820
A,27 wk,DE,1,inc infection,1180552
A,27 wk,DE,1,inc hosp,2547
A,28 wk,DE,1,inc infection,1223130
A,28 wk,DE,1,inc hosp,2547
A,29 wk,DE,1,inc infection,1283541
A,29 wk,DE,1,inc hosp,2911
A,30 wk,DE,1,inc infection,1288635
A,30 wk,DE,1,inc hosp,2911
A,31 wk,DE,1,inc infection,1417463
A,31 wk,DE,1,inc hosp,2183
A,32 wk,DE,1,inc infection,1485515
A,32 wk,DE,1,inc hosp,3639
A,33 wk,DE,1,inc infection,1559755
A,33 wk,DE,1,inc hosp,5095
A,34 wk,DE,1,inc infection,1666019
A,34 wk,DE,1,inc hosp,4731
A,35 wk,DE,1,inc infection,1775194
A,35 wk,DE,1,inc hosp,3275
A,36 wk,DE,1,inc infection,1900746
A,36 wk,DE,1,inc hosp,4003
A,37 wk,DE,1,inc infection,1922945
A,37 wk,DE,1,inc hosp,4367
A,38 wk,DE,1,inc infection,1917123
A,38 wk,DE,1,inc hosp,4731
A,39 wk,DE,1,inc infection,1837061
A,39 wk,DE,1,inc hosp,5459
A,40 wk,DE,1,inc infection,1698772
A,40 wk,DE,1,inc hosp,4731
A,41 wk,DE,1,inc infection,1433475
A,41 wk,DE,1,inc hosp,2547
A,42 wk,DE,1,inc infection,1395991
A,42 wk,DE,1,inc hosp,6187
A,43 wk,DE,1,inc infection,1212940
A,43 wk,DE,1,inc hosp,2547
A,44 wk,DE,1,inc infection,1089936
A,44 wk,DE,1,inc hosp,2547
A,45 wk,DE,1,inc infection,940001
A,45 wk,DE,1,inc hosp,2911
